# Word;AdvicedAlternative
# can be used for suggesting a more common word
# TODO: remove doubles
# TODO: remove incorrect spellings after certification of words list
#
bankenkrediet;bankkrediet
bankenlening;banklening
bankenopstelling;bankopstelling
bankenorganisatie;bankorganisatie
bankenschuld;bankschuld
bankensite;banksite
bankenwijzer;bankwijzer
banksaldo's;banksaldi
baptistengemeentes;baptistengemeenten
baptisteriums;baptisteria
barbecuesausen;barbecuesauzen
barbediendes;barbedienden
barbiepoppetje;barbiepopje
barbiepoppetjes;barbiepopjes
baritonsaxofonen;baritonsaxofoons
barlieden;barmannen
barlui;barmannen
barons;baronnen
barotraumata;barotrauma's
baryons;baryonen
basculen;bascules
baselinen;baselines
basilicumbladen;basilicumbladeren
basisaannamen;basisaannames
basisartikels;basisartikelen
basisbeginsels;basisbeginselen
basisbehoeftes;basisbehoeften
basisgedachtes;basisgedachten
basisindicators;basisindicatoren
basismodulen;basismodules
basisolies;basisoliën
basisopnamen;basisopnames
basisparcoursen;basisparcours
basisplans;basisplannen
basisplatforms;basisplatformen
basisprotocols;basisprotocollen
basisregelen;basisregels
basisrenten;basisrentes
basisruimtes;basisruimten
basissausen;basissauzen
basisschoolmethoden;basisschoolmethodes
basisvolumen;basisvolumes
basiswaardes;basiswaarden
basketbalsterren;basketbalsters
basritmen;basritmes
bassoli;bassolo's
bastaardzoons;bastaardzonen
basterden;basterds
bastiden;bastides
bataljonnen;bataljons
batslieden;batsmen
batterijenhouder;batterijhouder
batterijenlader;batterijlader
batterijenmarkt;batterijmarkt
batterijenoplader;batterijoplader
batterijenpakket;batterijpakket
beargumentatie;argumentatie
beddenbank;bedbank
beddenbodem;bedbodem
beddenframe;bedframe
beddenlinnen;bedlinnen
beddensysteem;bedsysteem
beddenverhaal;bedverhaal
beddingetjes;beddinkjes
bedelaren;bedelaars
bedelordes;bedelorden
bederving;bederf
bedes;beden
bedevaartplek;bedevaartsplek
bediendes;bedienden
bedieningswijzes;bedieningswijzen
bedrijfsbehoeftes;bedrijfsbehoeften
bedrijfsdirecteurs;bedrijfsdirecteuren
bedrijfseigenaars;bedrijfseigenaren
bedrijfsfasen;bedrijfsfases
bedrijfsgedeeltes;bedrijfsgedeelten
bedrijfsgrootten;bedrijfsgroottes
bedrijfsjournalen;bedrijfsjournaals
bedrijfskeuzen;bedrijfskeuzes
bedrijfsoptimalisering;bedrijfsoptimalisatie
bedrijfsovernamen;bedrijfsovernames
bedrijfsregelen;bedrijfsregels
bedrijfsrevisors;bedrijfsrevisoren
bedrijfsstandaards;bedrijfsstandaarden
bedrijfsstop;bedrijfstop
bedrijfstops;bedrijfsstops
bedrijfstops;bedrijfstoppen
bedrijfstroom;bedrijfsstroom
bedrijfsvervoersplan;bedrijfsvervoerplan
bedrijfsvervoersplannen;bedrijfsvervoerplannen
bedrijfswaardes;bedrijfswaarden
bedrijvencentrums;bedrijvencentra
bedrijvenplatformen;bedrijvenplatforms
bedrijvenuitje;bedrijfsuitje
bedsteeën;bedsteden
beekdallen;beekdalen
beeldenarchief;beeldarchief
beeldenaren;beeldenaars
beeldenbank;beeldbank
beeldenbibliotheek;beeldbibliotheek
beeldenbouwer;beeldbouwer
beeldencollage;beeldcollage
beeldencultuur;beeldcultuur
beeldenessay;beeldessay
beeldengrammatica;beeldgrammatica
beeldenkunstenaar;beeldkunstenaar
beeldenmateriaal;beeldmateriaal
beeldenpartij;beeldpartij
beeldenpresentatie;beeldpresentatie
beeldenproductie;beeldproductie
beeldenprogramma;beeldprogramma
beeldensnijder;beeldsnijder
beeldentaal;beeldtaal
beeldenverhaal;beeldverhaal
beeldgedeeltes;beeldgedeelten
beeldgrootten;beeldgroottes
beeldkeuzen;beeldkeuzes
beeldoptimalisering;beeldoptimalisatie
beeldredacteurs;beeldredacteuren
beeldsensors;beeldsensoren
beeldwaardes;beeldwaarden
beendermerg;beenmerg
beenlengten;beenlengtes
beenmergdonors;beenmergdonoren
beenmergziektes;beenmergziekten
beenslagaderen;beenslagaders
beenwindselen;beenwindsels
beetwond;bijtwond
begeertes;begeerten
begeleidingsbanden;begeleidingsbands
begeleidingsbehoeftes;begeleidingsbehoeften
begeleidingsmodulen;begeleidingsmodules
begindatums;begindata
beginnerspisten;beginnerspistes
beginrondes;beginronden
beginsaldo's;beginsaldi
beginselenprogramma;beginselprogramma
beginsels;beginselen
beginstadiums;beginstadia
beginwaardes;beginwaarden
begrafenisrites;begrafenisriten
begrotingetje;begrotinkje
begrotingsartikels;begrotingsartikelen
begrotingscyclussen;begrotingscycli
begrotingsronden;begrotingsrondes
begrotingssaldo's;begrotingssaldi
behandelingsprotocols;behandelingsprotocollen
behandelmodulen;behandelmodules
beheerapparaat;beheersapparaat
beheeraspect;beheersaspect
beheerautoriteit;beheersautoriteit
beheerautoriteiten;beheersautoriteiten
beheerbeslissingen;beheersbeslissingen
beheercapaciteiten;beheerscapaciteiten
beheercomité;beheerscomité
beheercontrole;beheerscontrole
beheerdocument;beheersdocument
beheerhandeling;beheershandeling
beheerhandelingen;beheershandelingen
beheerinstelling;beheersinstelling
beheerinstrumentarium;beheersinstrumentarium
beheerinstrumenten;beheersinstrumenten
beheerkeuzen;beheerkeuzes
beheermaatregels;beheermaatregelen
beheermanagement;beheersmanagement
beheermandaat;beheersmandaat
beheermandaten;beheersmandaten
beheermechanismen;beheersmechanismen
beheermethodes;beheermethoden
beheerniveaus;beheersniveaus
beheerorgaan;beheersorgaan
beheerorganen;beheersorganen
beheeroverdracht;beheersoverdracht
beheerreglement;beheersreglement
beheerrisico's;beheersrisico's
beheersadvies;beheeradvies
beheersafdeling;beheerafdeling
beheersafdelingen;beheerafdelingen
beheersbedrijf;beheerbedrijf
beheersbudget;beheerbudget
beheersconcessie;beheerconcessie
beheersconsole;beheerconsole
beheersdomeinen;beheerdomeinen
beheersfunctionaliteit;beheerfunctionaliteit
beheersfunctionaliteiten;beheerfunctionaliteiten
beheersgebouwen;beheergebouwen
beheersgedeelte;beheergedeelte
beheersgegevens;beheergegevens
beheersgroep;beheergroep
beheersgroepen;beheergroepen
beheersingsmaatregels;beheersingsmaatregelen
beheerskantoor;beheerkantoor
beheerskarakter;beheerkarakter
beheerskwaliteit;beheerkwaliteit
beheersmaatregels;beheersmaatregelen
beheersmateriaal;beheermateriaal
beheersmethodes;beheersmethoden
beheersmodule;beheermodule
beheersmogelijkheden;beheermogelijkheden
